id,name,short_name,code,strength,updated_at
1,Arsenal,ARS,3,4,2025-07-31 22:15:30.560646
2,Aston Villa,AVL,7,3,2025-07-31 22:15:30.560646
3,Burnley,BUR,90,2,2025-07-31 22:15:30.560646
4,Bournemouth,BOU,91,3,2025-07-31 22:15:30.560646
5,Brentford,BRE,94,3,2025-07-31 22:15:30.560646
6,Brighton,BHA,36,3,2025-07-31 22:15:30.560646
7,Chelsea,CHE,8,4,2025-07-31 22:15:30.560646
8,Crystal Palace,CRY,31,3,2025-07-31 22:15:30.560646
9,Everton,EVE,11,3,2025-07-31 22:15:30.560646
10,Fulham,FUL,54,3,2025-07-31 22:15:30.560646
11,Leeds,LEE,2,2,2025-07-31 22:15:30.560646
12,Liverpool,LIV,14,5,2025-07-31 22:15:30.560646
13,Man City,MCI,43,4,2025-07-31 22:15:30.560646
14,Man Utd,MUN,1,3,2025-07-31 22:15:30.560646
15,Newcastle,NEW,4,4,2025-07-31 22:15:30.560646
16,"Nott'm Forest",NFO,17,3,2025-07-31 22:15:30.560646
17,Sunderland,SUN,56,2,2025-07-31 22:15:30.560646
18,Spurs,TOT,6,3,2025-07-31 22:15:30.560646
19,West Ham,WHU,21,3,2025-07-31 22:15:30.560646
20,Wolves,WOL,39,3,2025-07-31 22:15:30.560646
